status,title,artists,album,audio_path,audio_url,file_path
"Not uploaded","Back Off Bitch - 2022 Remaster","Guns N' Roses","Use Your Illusion (Super Deluxe)","","",""
"Not uploaded","Backwoods","Red Hot Chili Peppers","The Uplift Mofo Party Plan","","",""
"Not uploaded","Backwoods","Red Hot Chili Peppers","What Hits!?","","",""
"Not uploaded","Bad Apples","Guns N' Roses","Use Your Illusion I","","",""
"Not uploaded","Bad Apples - 2022 Remaster","Guns N' Roses","Use Your Illusion I (Deluxe Edition)","","",""
"Not uploaded","Bad Apples - 2022 Remaster","Guns N' Roses","Use Your Illusion (Super Deluxe)","","",""
"Not uploaded","Bad Apples - Live In Rio De Janiero, Estadio De Maracana - January 23, 1991","Guns N' Roses","Use Your Illusion I (Deluxe Edition)","","",""
"Not uploaded","Bad Habits","Ed Sheeran","+-=÷× (Tour Collection: Live)","","",""
"Not uploaded","Bad Habits","Ed Sheeran","+-=÷× (Tour Collection)","","",""
"Not uploaded","Bad Habits","Ed Sheeran","= (Tour Edition)","","",""
"Not uploaded","Bad Habits","Ed Sheeran","=","","",""
"Not uploaded","Bad Habits","Ed Sheeran","names in lights at stadium heights","","",""
"Not uploaded","Bad Habits - Live","Ed Sheeran","+-=÷× (Tour Collection: Live)","","",""
"Not uploaded","Bad News","Kanye West","808s & Heartbreak","","",""
"Not uploaded","Bad Obsession","Guns N' Roses","Use Your Illusion I","","",""
"Not uploaded","Bad Obsession - 2022 Remaster","Guns N' Roses","Use Your Illusion I (Deluxe Edition)","","",""
