Mood,Album Count,Song Count,Albums,Songs
emotional,55,0,"808s & Heartbreak (Kanye West) | Aaja Matra (Sajjan Raj Vaidya) | Aakhale (Yabesh Thapa) | Adhuro Kura (Tribal Rain) | Bardali (Sushant KC) | Bhikhaari (Oasis Thapa) | Bhool (Swar, Swapnil Sharma, Rohit Shakya) | By the Way (Red Hot Chili Peppers) | Chautari (Sajjan Raj Vaidya) | Donda (Kanye West) | Dui Diney Jindagi (Yabesh Thapa) | Dukhi (Jamesy) | Eklai Bhayeni (Mero Adhuro Prem) (Sujan Chapagain, ArtMandu) | Farkanna Hola (John Rai) | Farkanna Hola (Fast track) (John Rai) | Ghar Gaun (AXIX) | Gharako Kancho Choro (Samir Shrestha) | Ghumi Phiri: Prelude (Sajjan Raj Vaidya) | Hamro Maya (The Edge Band) | HIT ME HARD AND SOFT (Billie Eilish) | Jaba Timi Sanga (The Edge Band) | Jani Na Jani (Oasis Thapa) | Jhari (Yabesh Thapa) | Jhilimili (Dilaima) (Samir Shrestha) | K Huncha Bhanera (DJ Bishow) | Kasari (Yabesh Thapa) | Kasari Furkaaune (Oasis Thapa) | Khola Kharey (Purna Rai) | Khusi Deykhchu Timi Aja (The Edge Band) | Kura (Tribal Rain) | Laakhau Hajarau (Yabesh Thapa) | Manaka Kura (Samir Shrestha, bekcha) | Maun (Laure, Sabin Rai) | Maya Garnu La (Composer Version) (John Rai) | Maya Ko Katha (Yabesh Thapa, Arbitrary Records) | Maya Ma (2018 Compilation) (Sushant KC) | Mero Ansu (The Edge Band) | Mutu Dekhin (Raw) (John Rai) | Nothing In My Head Besides Timi (Sajjan Raj Vaidya) | PAAILA (AXIX) | Paaila (Remastered) (AXIX) | Pahaar (Sajjan Raj Vaidya) | Pahaar (Live Version) (Sajjan Raj Vaidya) | Paribhasa (Purna Rai) | Parkha Na (Sushant KC) | Prayas (Yabesh Thapa, Pratik Shakya) | Saacho Kura (Yabesh Thapa) | Sidha Kura (Rockheads) | Thik (Sushant KC, Bluesss) | Timi Bhayera (Akash Khadka, Samir Shrestha) | Timi Nabhai Nahuney (Raw Demo) (Samir Shrestha) | Timi Ra Ma (Oasis Thapa) | Timro Maya (Sushant KC) | Yo Geet Timilai (DJ Bishow) | Yo Mutu Mero (Yabesh Thapa)",
emotive,8,0,"Balidan Title Song (From ""Balidan"") (Sujan Chapagain, Hark Saud) | Banga Banga (From ""Balidan"") (Sujan Chapagain, Bhushan Khatiwada, Hark Saud) | Chapali Height(Original Motion Picture Soundtrack) (Durga Kharel, Sabin Rai) | Chiso Ashtray (Original Motion Picture Soundtrack) (Ajar Jangam, Robin Tamang, Sabin Rai, Garima Gurung Shah) | Chulbul Chulbul (From ""Babari"") (Original Motion Picture Soundtrack) (Sujan Chapagain, Sunita Thegim) | Makhamali (From "" Oonko Sweater[The Woolen Sweater]"") (Sujan Chapagain, ArtMandu) | Mathi Mathi Pantharai ma (From "" Oonko Sweater[The Woolen Sweater]"") (Sujan Chapagain, ArtMandu) | Run On Gun (From ""Lappan Chhappan"") (Sabin Rai, Deepak Rj)",
empowering,0,0,,
energetic,28,0,Black Summer (Red Hot Chili Peppers) | Blood Sugar Sex Magik (Red Hot Chili Peppers) | By the Way (Deluxe Edition) (Red Hot Chili Peppers) | Californication (Deluxe Edition) (Red Hot Chili Peppers) | Dani California (Red Hot Chili Peppers) | Dark Necessities (Red Hot Chili Peppers) | Eddie (Red Hot Chili Peppers) | Freaky Styley (Red Hot Chili Peppers) | Goodbye Angels (Red Hot Chili Peppers) | Greatest Hits (Guns N' Roses) | Higher Ground (Remixes) (Red Hot Chili Peppers) | Higher Ground / If You Want Me To Stay (Remixes) (Red Hot Chili Peppers) | I'm with You (Red Hot Chili Peppers) | Mother's Milk (Red Hot Chili Peppers) | One Hot Minute (Red Hot Chili Peppers) | One Hot Minute (Deluxe Edition) (Red Hot Chili Peppers) | Perhaps (Guns N' Roses) | Poster Child (Red Hot Chili Peppers) | Red Hot Chili Peppers (Red Hot Chili Peppers) | Rock & Roll Hall of Fame Covers - EP (Red Hot Chili Peppers) | Snow (Hey Oh) (Red Hot Chili Peppers) | Stadium Arcadium (Red Hot Chili Peppers) | Tell Me Baby (Red Hot Chili Peppers) | The Uplift Mofo Party Plan (Red Hot Chili Peppers) | Tippa My Tongue (Red Hot Chili Peppers) | Unlimited Love (Red Hot Chili Peppers) | We Turn Red (Red Hot Chili Peppers) | What Hits!? (Red Hot Chili Peppers),
epic,1,0,Use Your Illusion I (Guns N' Roses),
expansive,3,0,"KIDS SEE GHOSTS (KIDS SEE GHOSTS, Kanye West, Kid Cudi) | Stadium Arcadium (Red Hot Chili Peppers) | Use Your Illusion II (Guns N' Roses)",
experimental,0,0,,
explicit,21,0,"Amassar o ortobom (DJ DIDI, Dj Thales Jql, DJ Karuso) | Barulho Jql (Dj Thales Jql) | Bota Ela de Quatro (Dj Thales Jql) | Cala boca e Escuta o Som da Minha Saveiro (Dj Thales Jql) | Como é Bom Fuder (Dj Thales Jql) | Fica de Quatro (Dj Thales Jql) | Ja vi puta que não era puta (Dj Thales Jql) | Joga Pra Frente, Joga Pra Tras (Dj Thales Jql) | Mega pra fuder no carro (DJ DIDI, Dj Thales Jql, DJ Karuso) | Na Sentada Que Ela Vem (Dj Thales Jql) | SE QUISER VEM NO PAU (Dj Thales Jql) | Senta no pau do seu preto (Dj Thales Jql) | Sequencia da Botada (Dj Thales Jql) | Sequencia do Peixão (Dj Thales Jql) | Sequencia do Vuk (Dj Thales Jql) | Sequencia do Vuk 2 (Dj Thales Jql) | Vem Fuder (Funk Versão) (Dj Thales Jql) | Vem pro Setor (DJ DIDI, Dj Thales Jql, Mc Rkostta) | Vou tacar pau na tchequinha (Dj Thales Jql) | Vulgo Malvadão (Dj Thales Jql) | Xerecão, Xerequinha (Dj Thales Jql)",
expressive,0,0,,
feel-good,30,0,"Ae Mutu (Yabesh Thapa) | Baaf (Sujan Chapagain, Bidhya Tiwari) | Bardali (Acoustic) (Sushant KC) | Boomerang (YABI The G.O.A.T) | Camera (Unplugged) (Ed Sheeran) | Dhurwa Tara (Purna Rai) | Dhurwa Tara (Drum Track) (Purna Rai) | Eklo Jeewan (Live In Bhaktapur) (AXIX) | Fakaula Timilai (Oasis Thapa) | Fewataal (Yabesh Thapa) | Gajalu (Sushant KC) | Hajar Janma (Rockheads) | Jhandai (Sushant KC) | Juni Vari Lai (Oasis Thapa) | Kya Kardiya (Sushant KC) | Laayo Timiley Mayalu (The Edge Band) | Maaf Gara (Live In Bhaktapur) (AXIX) | Mayalu (Vek, Yabesh Thapa) | Mayalu Sunana (Samir Shrestha) | Mero Mana Ma (Samir Shrestha) | Mero Prem (Live In Bhaktapur) (AXIX) | Muskan (Live In Bhaktapur) (AXIX) | Muskuraye (Yabesh Thapa) | Paisa (Live In Bhaktapur) (AXIX) | Parkhi Rahechu (John Rai) | Phone Ko No. ? (Sushant KC) | Phone Ko Number? (Utsav Remix) (Sushant KC, Foeseal, Utsav) | Sasto Mutu (Sajjan Raj Vaidya) | Timiley (Samir Shrestha) | Timro Mood (DJ Bishow)",
